timestamp,event_type,team,player,shots_taken,goals_scored
2025-04-15T06:12:05,yellow_card,AI United,Zara,0,0
2025-04-15T06:12:06,foul,AI United,Yuki,0,0
2025-04-15T06:12:07,goal,AI United,Zara,5,1
2025-04-15T06:12:08,yellow_card,AI United,Zara,0,0
2025-04-15T06:12:09,assist,FC Python,Charlie,0,0
2025-04-15T06:12:10,foul,FC Python,Alice,0,0
2025-04-15T06:12:11,yellow_card,AI United,Yuki,0,0
2025-04-15T06:12:12,goal,FC Python,Bob,7,2
2025-04-15T06:12:13,shot,FC Python,Alice,10,2
2025-04-15T06:12:14,assist,AI United,Zara,0,0
2025-04-15T06:12:15,foul,FC Python,Charlie,0,0
2025-04-15T06:12:16,shot,AI United,Xander,15,1
2025-04-15T06:12:17,assist,FC Python,Bob,0,0
2025-04-15T06:12:18,goal,AI United,Yuki,4,1
2025-04-15T06:12:19,assist,AI United,Zara,0,0
2025-04-15T06:12:20,goal,AI United,Xander,3,1
2025-04-15T06:12:21,yellow_card,FC Python,Charlie,0,0
2025-04-15T06:12:22,shot,AI United,Yuki,8,0
2025-04-15T06:12:23,foul,AI United,Xander,0,0
2025-04-15T06:12:24,assist,FC Python,Alice,0,0
2025-04-15T06:12:25,shot,FC Python,Charlie,7,3
2025-04-15T06:12:26,foul,AI United,Zara,0,0
2025-04-15T06:12:27,goal,FC Python,Alice,5,1
2025-04-15T06:12:28,assist,AI United,Yuki,0,0
2025-04-15T06:12:29,foul,AI United,Xander,0,0
2025-04-15T06:12:30,shot,FC Python,Bob,12,4
2025-04-15T06:12:31,goal,AI United,Zara,6,2
2025-04-15T06:12:32,assist,FC Python,Charlie,0,0
2025-04-15T06:12:33,goal,FC Python,Charlie,4,1
2025-04-15T06:12:34,foul,AI United,Zara,0,0
2025-04-15T06:12:35,shot,AI United,Yuki,11,1
2025-04-15T06:12:36,assist,FC Python,Bob,0,0
2025-04-15T06:12:37,goal,AI United,Xander,7,2
2025-04-15T06:12:38,shot,FC Python,Alice,9,2
2025-04-15T06:12:39,goal,FC Python,Bob,10,3
2025-04-15T06:12:40,foul,AI United,Yuki,0,0
2025-04-15T06:12:41,assist,AI United,Xander,0,0
2025-04-15T06:12:42,goal,AI United,Zara,5,1
2025-04-15T06:12:43,assist,FC Python,Charlie,0,0
2025-04-15T06:12:44,shot,AI United,Yuki,14,5
2025-04-15T06:12:45,assist,AI United,Zara,0,0
2025-04-15T06:12:46,goal,FC Python,Charlie,6,2
2025-04-15T06:12:47,foul,AI United,Zara,0,0
2025-04-15T06:12:48,shot,AI United,Xander,10,3
2025-04-15T06:12:49,assist,FC Python,Bob,0,0
2025-04-15T06:12:50,goal,FC Python,Alice,7,2
2025-04-15T06:12:51,foul,AI United,Yuki,0,0
2025-04-15T06:12:52,assist,AI United,Zara,0,0
2025-04-15T06:12:53,goal,AI United,Xander,8,3
2025-04-15T06:12:54,foul,FC Python,Charlie,0,0
2025-04-15T06:12:55,assist,AI United,Yuki,0,0
2025-04-15T06:12:56,goal,FC Python,Bob,8,3
2025-04-15T06:12:57,shot,AI United,Yuki,11,0
2025-04-15T06:12:58,assist,FC Python,Alice,0,0
2025-04-15T06:12:59,goal,AI United,Zara,6,2
2025-04-15T06:13:00,foul,AI United,Zara,0,0
2025-04-15T06:13:01,assist,AI United,Xander,0,0
2025-04-15T06:13:02,shot,FC Python,Bob,7,0
